Titel,Datum,Fehlercode,Fehlertext
ON-SITE INFO SESSION | EXECUTIVE MBA IN INNOVATION & BUSINESS CREATION,2025-04-28T20:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""1cf33c24-b876-440d-8ae9-c6c51d9fdd7d""}"
VIRTUAL INFO SESSION | LEAN SIX SIGMA YELLOW BELT,2025-04-29T17:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""d4be55f2-254e-475e-b4fe-be256a997da3""}"
VIRTUAL INFO SESSION | EXECUTIVE MBA,2025-04-30T12:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""6b95c991-16ec-4f34-83af-b344072acae6""}"
VIRTUAL INFO SESSION | EXECUTIVE MBA,2025-05-21T14:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""22486fa4-aea3-4904-93ab-35dd0f29bc85""}"
VIRTUAL INFO SESSION | EXECUTIVE MBA IN INNOVATION & BUSINESS CREATION,2025-05-22T14:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""1a40b3c1-84a7-45df-9371-d394b619f72a""}"
VIRTUAL INFO SESSION | EXECUTIVE MBA IN BUSINESS & IT,2025-05-23T13:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""72170c7b-17bb-43d6-a5ea-f593595a4ca6""}"
ON-SITE EVENING INFO SESSION,2025-06-12T21:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""afff5bf7-4c74-4a0d-a1d0-148481019883""}"
VIRTUAL INFO SESSION | EXECUTIVE MBA,2025-06-18T14:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""b2a85baf-ee16-47a1-9cc5-8a4de7cb6f25""}"
VIRTUAL INFO SESSION | EXECUTIVE MBA IN BUSINESS & IT,2025-06-19T19:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""eba703f9-0ddf-4f5c-8369-dd64a8e6c377""}"
VIRTUAL INFO SESSION | EXECUTIVE MBA IN INNOVATION & BUSINESS CREATION,2025-06-26T14:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""42641639-fcba-430e-932c-19575ca01fe4""}"
IKOM 2025,2025-06-23T00:00 - 2025-06-26T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""485490f7-9099-409d-8f76-c0144d601cde""}"
IKOM Start-up 2025,2025-06-02T00:00 - 2025-06-05T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""3ad706f9-f353-44a1-98e8-fe2471a2e83f""}"
